estrategia,vectores,dimension,k,consulta,latencia_ms,distancias,registros_examinados,page_reads,buffer_hits,buffer_misses,filas
fullsort,10000,16,10,5,5.048180,10000,10000,200,10000,200,10
fullsort,10000,16,10,6,4.835743,10000,10000,200,10000,200,10
fullsort,10000,16,10,7,4.817217,10000,10000,200,10000,200,10
fullsort,10000,16,10,8,4.848908,10000,10000,200,10000,200,10
fullsort,10000,16,10,9,5.082556,10000,10000,200,10000,200,10
fullsort,10000,16,10,10,4.974209,10000,10000,200,10000,200,10
fullsort,10000,16,10,11,4.916447,10000,10000,200,10000,200,10
fullsort,10000,16,10,12,4.870109,10000,10000,200,10000,200,10
fullsort,10000,16,10,13,4.975231,10000,10000,200,10000,200,10
fullsort,10000,16,10,14,4.934081,10000,10000,200,10000,200,10
fullsort,10000,16,10,15,4.906919,10000,10000,200,10000,200,10
fullsort,10000,16,10,16,4.826815,10000,10000,200,10000,200,10
fullsort,10000,16,10,17,4.874848,10000,10000,200,10000,200,10
fullsort,10000,16,10,18,5.071906,10000,10000,200,10000,200,10
fullsort,10000,16,10,19,5.115740,10000,10000,200,10000,200,10
fullsort,10000,16,10,20,4.890998,10000,10000,200,10000,200,10
fullsort,10000,16,10,21,5.020658,10000,10000,200,10000,200,10
fullsort,10000,16,10,22,4.905006,10000,10000,200,10000,200,10
fullsort,10000,16,10,23,4.914394,10000,10000,200,10000,200,10
fullsort,10000,16,10,24,4.882422,10000,10000,200,10000,200,10
fullsort,10000,16,10,25,4.820795,10000,10000,200,10000,200,10
fullsort,10000,16,10,26,4.795195,10000,10000,200,10000,200,10
fullsort,10000,16,10,27,4.807729,10000,10000,200,10000,200,10
fullsort,10000,16,10,28,4.982374,10000,10000,200,10000,200,10
fullsort,10000,16,10,29,4.932809,10000,10000,200,10000,200,10
topk,10000,32,10,0,3.834363,10000,10000,358,10000,358,10
topk,10000,32,10,1,3.757455,10000,10000,358,10000,358,10
topk,10000,32,10,2,3.693573,10000,10000,358,10000,358,10
topk,10000,32,10,3,3.690015,10000,10000,358,10000,358,10
topk,10000,32,10,4,3.682692,10000,10000,358,10000,358,10
topk,10000,32,10,5,3.686469,10000,10000,358,10000,358,10
topk,10000,32,10,6,3.755942,10000,10000,358,10000,358,10
topk,10000,32,10,7,3.674446,10000,10000,358,10000,358,10
topk,10000,32,10,8,3.678033,10000,10000,358,10000,358,10
topk,10000,32,10,9,3.684174,10000,10000,358,10000,358,10
topk,10000,32,10,10,3.679766,10000,10000,358,10000,358,10
